Lagerkürzel;Auftragsnummer;LS-Nr.;geprüft j/n;Lieferdatum;Bearbeiter;Kundennummer;Kundenkürzel;L.-Name 1;L.-Straße;L.-PLZ;L.-Ort;;;;
VST Schörling;107983;LS71909;ja;14.01.2026;Logistik;21579;TraXall;TraXall Germany;Keltenring 15;82041;Oberhaching;;;;
VST Schörling;107984;LS71910;ja;14.01.2026;Logistik;21663;Electrochaea;Electrochaea GmbH;Semmelweisstraße 3;82152;Planegg-Steinkirchen;;;;
AMW Auersperg;107985;LS71911;ja;08.01.2026;Logistik;21693;Augenzentrum  Nordwest;Augenzentrum Nordwest;Warnowallee 31 A;18107;Rostock;;;;
VST Schörling;107991;LS71917;ja;14.01.2026;Logistik;21663;Electrochaea;Electrochaea GmbH;Semmelweisstraße 3;82152;Planegg-Steinkirchen;;;;
Planegg;107995;LS71921;nein;01.02.2026;Logistik;22359;IT-MAX GmbH;BCS Service GmbH;Dachauer Str. 70-72;80335;München;;;;
Ines Rütz Appen;108012;LS71937;nein;07.01.2026;Logistik;22913;Hugo Pfohe GmbH;Hugo Pfohe GmbH;Esmarchstraße 13-15;23795;Bad Segeberg;;;;
Ines Rütz Appen;108016;LS71941;nein;01.01.2026;Logistik;22885;Denis Barbershop;Denis Barbershop;Denhaide 6;22081;Hamburg;;;;
aboutwater Bünde;108048;LS71972;ja;17.02.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Am Alten Eisenwerk 4;21339;Lüneburg;;;;
AMW Auersperg;108049;LS71973;ja;28.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Radewisch 2;24145;Moorsee;;;;
AMW Auersperg;108050;LS71974;ja;28.01.2026;Logistik;23577;Dataport;Dataport - Anstalt des öffentl. Rechts;Konrad-Zuse-Ring 1;24220;Flintbek;;;;
Ines Rütz Appen;108052;LS71976;ja;20.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
Ines Rütz Appen;108053;LS71977;ja;20.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
Ines Rütz Appen;108054;LS71978;ja;20.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
Ines Rütz Appen;108055;LS71979;ja;20.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
Ines Rütz Appen;108056;LS71980;ja;20.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
Ines Rütz Appen;108057;LS71981;ja;20.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
Ines Rütz Appen;108058;LS71982;ja;01.01.2026;Logistik;23861;BGW Hamburg;BGW Berufsgenossenschaft;Schäferkampsallee 24;20357;Hamburg;;;;
AMW Auersperg;108060;LS71984;ja;29.01.2026;Logistik;23916;Kabuja & Kollegen;KABUJA & KOLLEGEN GMBH;Werftbahnstr. 8;24143;Kiel;;;;
Planegg;108064;LS71988;ja;08.01.2026;Logistik;61030;dm 1030 Augsburg;dm Filiale 1030;Neuburger Straße 227;86196;Augsburg - Hammerschmiede;;;;
Planegg;108074;LS71998;ja;08.01.2026;Logistik;62557;dm 2557 Langweid;dm Filiale 2557;Am Lehenauweg 2c;86462;Langweid;;;;
AMW Auersperg;108079;LS72003;ja;10.02.2026;Logistik;24064;AWO Ludwigslust;Kita Am Schäferstein;Bundesstr. 11;19260;Dersenow;;;;
AMW Auersperg;108080;LS72004;ja;29.01.2026;Logistik;24064;AWO Ludwigslust;Kita Wittenburger Lindwürmchen;Friedrich-Tarnow-Straße 19;19243;Wittenberg;;;;
AMW Auersperg;108081;LS72005;ja;26.01.2026;Logistik;24064;AWO Ludwigslust;Kita Haus der kleinen Freunde;Birkenweg 1;19075;Warsow;;;;
AMW Auersperg;108082;LS72006;ja;10.02.2026;Logistik;24064;AWO Ludwigslust;Kita Kinderland;Fritz-Reuter-Str. 30a;19258;Boizenburg;;;;
AMW Auersperg;108086;LS72010;ja;11.02.2026;Logistik;24064;AWO Ludwigslust;Kita Pusteblume;Mühlenweg 2;19249;Lübtheen;;;;
AMW Auersperg;108088;LS72012;ja;17.03.2026;Logistik;24064;AWO Ludwigslust;Kita Zwergenland;Am Schlossteich 2;19258;Gresse;;;;
AMW Auersperg;108089;LS72013;ja;10.02.2026;Logistik;24064;AWO Ludwigslust;Kita Wassertropfen;Weg der Jugend 16 b;19258;Boizenburg;;;;
aboutwater Bünde;108103;LS72027;ja;17.02.2026;Logistik;24183;Pflegeteam Hamel;Pflegeteam Hamel - Harburg;Petersweg 1;21075;Hamburg;;;;
VST Schörling;108104;LS72028;ja;05.03.2026;Logistik;24241;finccam GmbH;finccam GmbH;Ganghoferstraße 70;80339;München;;;;
VST Schörling;108106;LS72030;ja;19.01.2026;Logistik;24245;Ontime Courier GmbH;Ontime Courier GmbH;Alois-Wolfmüller-Str. 8;80939;München;;;;
VST Schörling;108112;LS72036;ja;11.02.2026;Logistik;24238;Agfa;Agfa-Gevaert Healthcare GmbH;Max-Planck-Str. 1;82830;Peißenberg;;;;
VST Schörling;108115;LS72039;ja;19.01.2026;Logistik;24245;Ontime Courier GmbH;Ontime Courier GmbH;Alois-Wolfmüller-Str. 8;80939;München;;;;
VST Schörling;108124;LS72048;ja;19.01.2026;Logistik;24659;MCE Service GmbH;MCE Service GmbH;Kistlerhofstraße 170;81379;München;;;;
VST Schörling;108125;LS72049;ja;19.01.2026;Logistik;24659;MCE Service GmbH;MCE Service GmbH;Kistlerhofstraße 170;81379;München;;;;
AQUATRADE Glinde;108126;LS72050;ja;16.03.2026;Logistik;24786;INDIMANT;INDIMANT Industriediamanten GmbH;Heinrich-Hertz-Straße 9;22941;Bargteheide;;;;
VST Schörling;108127;LS72051;ja;19.01.2026;Logistik;24935;Nucletron Technologies GmbH;Nucletron Technologies GmbH;Riesstraße 8;80992;München;;;;
Ines Rütz Appen;108141;LS72065;ja;13.01.2026;Logistik;25101;WRENKH;WRENKH KochEvents;Max-Brauer-Allee 251;22769;Hamburg;;;;
Ewatec;108151;LS72075;ja;25.03.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Freiheitstr. 6;78224;Singen;;;;
Schöttle - Haiterbach;108159;LS72083;ja;01.01.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Mettingerstr. 131;73728;Esslingen;;;;
Schöttle - Haiterbach;108160;LS72084;ja;01.01.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Mettingerstr. 131;73728;Esslingen;;;;
Schöttle - Haiterbach;108161;LS72085;ja;01.01.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Mettingerstr. 131;73728;Esslingen;;;;
Schöttle - Haiterbach;108162;LS72086;nein;01.01.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Manfred-Wörner-Str. 115;73037;Göppingen;;;;
Schöttle - Haiterbach;108163;LS72087;nein;01.01.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Weidenfelder Str. 1;73430;Aalen;;;;
Schöttle - Haiterbach;108174;LS72098;ja;01.01.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Zerrennerstr. 28;75172;Pforzheim;;;;
Ewatec;108177;LS72101;ja;26.03.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Meersburger Str. 3;88213;Ravensburg;;;;
Schöttle - Haiterbach;108178;LS72102;ja;01.01.2026;Logistik;25185;Medizinischer Dienst Baden-Wür;Medizinischer Dienst Baden-Württemb;Schwarzwaldstraße 1a;75173;Pforzheim;;;;
Ines Rütz Appen;108181;LS72105;ja;18.02.2026;Logistik;24777;ProMed Solutions;ProMed Solutions GmbH;Mönkedamm 11;20457;Hamburg;;;;
VST Schörling;108183;LS72107;ja;22.01.2026;Logistik;25368;CompuSafe Data Systems AG;CompuSafe Data Systems AG;Oetztaler Strasse 18;81373;München;;;;
VST Schörling;108184;LS72108;ja;19.01.2026;Logistik;25402;zweiB GmbH;zweiB GmbH;Thalkirchnerstr. 210 / Geb.8;81371;München;;;;
Gänshirt-Aufmbruch;108225;LS72149;ja;16.01.2026;Logistik;25562;Eurofins;Eurofins Institut Dr. Rothe GmbH;Otto-Hahn-Str. 15;44227;Dortmund;;;;
VST Schörling;108227;LS72151;ja;21.01.2026;Logistik;20821;spaceopal GmbH;spaceopal GmbH;Arnulfstraße 60;80335;München;;;;
VST Schörling;108228;LS72152;ja;21.01.2026;Logistik;20821;spaceopal GmbH;spaceopal GmbH;Arnulfstr. 58, 1. OG;80335;München;;;;
